,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
3592,efpss-inp,../inputs/case118.graphml,118,179,11,4,280,172,0,30.0,30,0.0,Optimal,1,23979,7,295,17
3593,efpss-outp,../inputs/case_Texas.graphml,2000,2667,376,6,4231,2434,3,444.0,444,0.0,Optimal,2236,8176153,26,10853,28
3594,efpss-outp-init,../inputs/case9241pegase.graphml,9241,14207,2902,17,18634,23259,4,2010.0,2010,0.0,Optimal,5524,16592527,15,22673,8
3595,efpss-outp,../inputs/case6515rte.graphml,6515,8104,2344,5,17585,9340,0,1369.0,1369,0.0,Optimal,1698,6729334,24,39451,148
3596,efpss-outp-init,../inputs/case1888rte.graphml,1888,2308,681,1,7916,7774,0,864.0,864,0.0,Optimal,1,199938,6,3344,1
3597,efpss-inp,../inputs/case_GB2224.graphml,2224,2804,1367,7,6852,4308,0,326.0,326,0.0,Optimal,1876,4497883,66,56595,2434
3598,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,37,16971,16973,0,2010.0,2010,0.0,Optimal,8971,19773800,18,28405,123
3599,efpss-outp,../inputs/case118.graphml,118,179,11,1,509,240,3,56.0,56,0.0,Optimal,1,9667,8,268,2
3600,efpss-outp,../inputs/case1354pegase.graphml,1354,1710,422,1,5393,2608,3,703.0,703,0.0,Optimal,1,106669,9,3693,48
3601,efpss-outp-init,../inputs/case_illinois200.graphml,200,245,44,7,413,625,2,40.0,40,0.0,Optimal,1,7947,3,140,0
3602,efpss-outp-init,../inputs/case96rts.graphml,73,108,9,2,260,158,2,22.0,22,0.0,Optimal,1,18559,4,77,0
3603,efpss-inp-outp,../inputs/case13659pegase.graphml,13659,18625,4024,33,26561,25513,1,2721.0,2721,0.0,Optimal,21,1928865,11,29132,93
3604,efpss-inp,../inputs/case1354pegase.graphml,1354,1710,422,7,2853,2167,0,313.0,313,0.0,Optimal,479,303761,34,9079,377
3605,efpss-outp-init,../inputs/case1888rte.graphml,1888,2308,681,7,4580,6680,1,377.0,377,0.0,Optimal,1,245025,10,3082,0
3606,efpss-outp-init,../inputs/case_Western.graphml,10024,12241,4106,13,23753,38189,1,1825.0,1825,0.0,Optimal,1986,19463007,17,39811,8
3607,efpss-inp,../inputs/case145.graphml,145,422,71,11,750,278,3,18.0,18,0.0,Optimal,1,88324,20,1436,88
3608,efpss-outp-init,../inputs/case13659pegase.graphml,13659,18625,4024,29,26814,42947,1,2721.0,2721,0.0,Optimal,1,1339565,11,29567,5
3609,efpss-inp-outp,../inputs/case57.graphml,57,78,15,4,124,109,3,12.0,12,0.0,Optimal,1,6792,4,44,0
